customer_message,sentiment_label
I need some clarification about my delivery. What are the next steps?,Neutral
"Hello, I'm checking in about my account access and would like to get further details.",Neutral
"Hi, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
I've been waiting for a response about my account access for two days and I'm getting tired of this disappointing service.,Frustrated
"Hi, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
This is my third time contacting you about my refund. It's been several minutes and the service remains inadequate.,Frustrated
I am very disappointed. I ordered a printer and have been facing payment issues for half an hour. The support is frustrating.,Frustrated
I am very disappointed. I ordered a watch and have been facing order status issues for a long time. The support is below expectations.,Frustrated
"Good day, your assistance with my delivery was much appreciated. I'm very satisfied with the results.",Satisfied
"Dear Support Team, I'm checking in about my order status and would like to get further details.",Neutral
I've been waiting for a response about my delivery for an hour and I'm getting tired of this poor service.,Frustrated
Great job on resolving my payment. I received a prompt response and the service was outstanding.,Satisfied
I am very disappointed. I ordered a tablet and have been facing delivery issues for a long time. The support is unacceptable.,Frustrated
This is my third time contacting you about my order status. It's been three days and the service remains frustrating.,Frustrated
"Good day, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
"Hi, I am really upset because my account access issue has not been resolved for three days. This service is below expectations.",Frustrated
I've been waiting for a response about my refund for an hour and I'm getting tired of this disappointing service.,Frustrated
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
"Good day, I'm checking in about my order status and would like to get further details.",Neutral
I am very disappointed. I ordered a watch and have been facing account access issues for a long time. The support is inadequate.,Frustrated
"Good day, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Hello, I have a question regarding my refund. Can you provide more information on this matter?",Neutral
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
I need some clarification about my account access. What are the next steps?,Neutral
Could you please update me on the progress of my refund? I appreciate your help.,Neutral
"Good day, I am really upset because my technical support issue has not been resolved for three days. This service is unacceptable.",Frustrated
My experience with your service has been extremely inadequate. My delivery problem has lingered for two days without any resolution.,Frustrated
"Thanks for your help! My refund problem was fixed within several minutes, and the service was very professional.",Satisfied
I am very disappointed. I ordered a laptop and have been facing payment issues for an hour. The support is inadequate.,Frustrated
This is my third time contacting you about my delivery. It's been half an hour and the service remains below expectations.,Frustrated
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
"Good day, I wanted to thank you for resolving my delivery so promptly. I appreciate the excellent service!",Satisfied
I've been waiting for a response about my delivery for half an hour and I'm getting tired of this below expectations service.,Frustrated
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
This is my third time contacting you about my delivery. It's been an hour and the service remains below expectations.,Frustrated
"Good day, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Dear Support Team, I am really upset because my account access issue has not been resolved for three days. This service is unacceptable.",Frustrated
This is my third time contacting you about my payment. It's been an hour and the service remains disappointing.,Frustrated
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
I've been waiting for a response about my refund for a long time and I'm getting tired of this below expectations service.,Frustrated
I need some clarification about my order status. What are the next steps?,Neutral
Could you please update me on the progress of my technical support? I appreciate your help.,Neutral
"Hey there, I wanted to thank you for resolving my payment so promptly. I appreciate the excellent service!",Satisfied
I would like to know the current status of my order status. Please advise.,Neutral
"Good day, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
I've been waiting for a response about my technical support for two days and I'm getting tired of this below expectations service.,Frustrated
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
"Hi, I'm checking in about my account access and would like to get further details.",Neutral
"Hi, I am really upset because my refund issue has not been resolved for a long time. This service is frustrating.",Frustrated
Could you please update me on the progress of my payment? I appreciate your help.,Neutral
"Thanks for your help! My payment problem was fixed within several minutes, and the service was very professional.",Satisfied
"Hey there, your assistance with my technical support was much appreciated. I'm very satisfied with the results.",Satisfied
I've been waiting for a response about my order status for half an hour and I'm getting tired of this inadequate service.,Frustrated
I'm happy with how quickly my payment was addressed. Your team handled my case impressively!,Satisfied
"Thanks for your help! My technical support problem was fixed within half an hour, and the service was very professional.",Satisfied
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
I am very disappointed. I ordered a laptop and have been facing refund issues for three days. The support is below expectations.,Frustrated
"Dear Support Team, your assistance with my payment was much appreciated. I'm very satisfied with the results.",Satisfied
"Hello, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Hello, I have a question regarding my account access. Can you provide more information on this matter?",Neutral
"Thanks for your help! My refund problem was fixed within two days, and the service was very professional.",Satisfied
I need some clarification about my payment. What are the next steps?,Neutral
This is my third time contacting you about my account access. It's been two days and the service remains inadequate.,Frustrated
"Good day, I am really upset because my account access issue has not been resolved for two days. This service is disappointing.",Frustrated
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
I am very disappointed. I ordered a printer and have been facing technical support issues for a long time. The support is inadequate.,Frustrated
I am very disappointed. I ordered a printer and have been facing payment issues for three days. The support is unacceptable.,Frustrated
"Thanks for your help! My technical support problem was fixed within half an hour, and the service was very professional.",Satisfied
"Hey there, I'm checking in about my payment and would like to get further details.",Neutral
This is my third time contacting you about my account access. It's been half an hour and the service remains below expectations.,Frustrated
My experience with your service has been extremely inadequate. My payment problem has lingered for a long time without any resolution.,Frustrated
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
This is my third time contacting you about my order status. It's been two days and the service remains poor.,Frustrated
"Good day, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
I am very disappointed. I ordered a printer and have been facing delivery issues for an hour. The support is below expectations.,Frustrated
I'm happy with how quickly my delivery was addressed. Your team handled my case impressively!,Satisfied
This is my third time contacting you about my refund. It's been several minutes and the service remains frustrating.,Frustrated
"Good day, I have a question regarding my delivery. Can you provide more information on this matter?",Neutral
Could you please update me on the progress of my delivery? I appreciate your help.,Neutral
"Hey there, I am really upset because my technical support issue has not been resolved for several minutes. This service is frustrating.",Frustrated
I've been waiting for a response about my payment for an hour and I'm getting tired of this below expectations service.,Frustrated
I'm happy with how quickly my technical support was addressed. Your team handled my case impressively!,Satisfied
"Good day, I wanted to thank you for resolving my account access so promptly. I appreciate the excellent service!",Satisfied
This is my third time contacting you about my account access. It's been several minutes and the service remains below expectations.,Frustrated
My experience with your service has been extremely disappointing. My order status problem has lingered for two days without any resolution.,Frustrated
"Hey there, I have a question regarding my delivery. Can you provide more information on this matter?",Neutral
"Hi, your assistance with my payment was much appreciated. I'm very satisfied with the results.",Satisfied
I am very disappointed. I ordered a smartphone and have been facing delivery issues for half an hour. The support is inadequate.,Frustrated
"Dear Support Team, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Hey there, I have a question regarding my technical support. Can you provide more information on this matter?",Neutral
I would like to know the current status of my payment. Please advise.,Neutral
I'm happy with how quickly my payment was addressed. Your team handled my case impressively!,Satisfied
My experience with your service has been extremely disappointing. My technical support problem has lingered for several minutes without any resolution.,Frustrated
I need some clarification about my order status. What are the next steps?,Neutral
This is my third time contacting you about my order status. It's been half an hour and the service remains inadequate.,Frustrated
"Hey there, I have a question regarding my account access. Can you provide more information on this matter?",Neutral
"Hey there, I have a question regarding my order status. Can you provide more information on this matter?",Neutral
"Hi, I am really upset because my account access issue has not been resolved for half an hour. This service is below expectations.",Frustrated
This is my third time contacting you about my payment. It's been three days and the service remains frustrating.,Frustrated
Great job on resolving my order status. I received a prompt response and the service was outstanding.,Satisfied
This is my third time contacting you about my refund. It's been an hour and the service remains inadequate.,Frustrated
Great job on resolving my technical support. I received a prompt response and the service was outstanding.,Satisfied
I've been waiting for a response about my refund for an hour and I'm getting tired of this disappointing service.,Frustrated
"Hey there, I have a question regarding my refund. Can you provide more information on this matter?",Neutral
I've been waiting for a response about my payment for several minutes and I'm getting tired of this poor service.,Frustrated
I've been waiting for a response about my payment for an hour and I'm getting tired of this disappointing service.,Frustrated
"Good day, I'm checking in about my delivery and would like to get further details.",Neutral
"Good day, I have a question regarding my technical support. Can you provide more information on this matter?",Neutral
I've been waiting for a response about my refund for several minutes and I'm getting tired of this below expectations service.,Frustrated
Great job on resolving my payment. I received a prompt response and the service was outstanding.,Satisfied
I am very disappointed. I ordered a headphones and have been facing account access issues for several minutes. The support is frustrating.,Frustrated
My experience with your service has been extremely unacceptable. My order status problem has lingered for a long time without any resolution.,Frustrated
I would like to know the current status of my refund. Please advise.,Neutral
"Hey there, I wanted to thank you for resolving my order status so promptly. I appreciate the excellent service!",Satisfied
"Dear Support Team, I am really upset because my technical support issue has not been resolved for a long time. This service is inadequate.",Frustrated
"Hey there, I wanted to thank you for resolving my order status so promptly. I appreciate the excellent service!",Satisfied
I've been waiting for a response about my technical support for two days and I'm getting tired of this inadequate service.,Frustrated
"Dear Support Team, your assistance with my account access was much appreciated. I'm very satisfied with the results.",Satisfied
I'm happy with how quickly my refund was addressed. Your team handled my case impressively!,Satisfied
"Good day, I have a question regarding my technical support. Can you provide more information on this matter?",Neutral
"Good day, I have a question regarding my delivery. Can you provide more information on this matter?",Neutral
"Thanks for your help! My delivery problem was fixed within half an hour, and the service was very professional.",Satisfied
Could you please update me on the progress of my order status? I appreciate your help.,Neutral
This is my third time contacting you about my account access. It's been three days and the service remains frustrating.,Frustrated
"Hey there, I'm checking in about my refund and would like to get further details.",Neutral
"Hello, I'm checking in about my technical support and would like to get further details.",Neutral
This is my third time contacting you about my order status. It's been three days and the service remains poor.,Frustrated
I need some clarification about my account access. What are the next steps?,Neutral
"Hey there, I have a question regarding my account access. Can you provide more information on this matter?",Neutral
I am very disappointed. I ordered a headphones and have been facing account access issues for an hour. The support is unacceptable.,Frustrated
I would like to know the current status of my delivery. Please advise.,Neutral
My experience with your service has been extremely frustrating. My payment problem has lingered for half an hour without any resolution.,Frustrated
I need some clarification about my payment. What are the next steps?,Neutral
"Hello, I have a question regarding my delivery. Can you provide more information on this matter?",Neutral
I'm happy with how quickly my technical support was addressed. Your team handled my case impressively!,Satisfied
"Hi, I am really upset because my account access issue has not been resolved for half an hour. This service is poor.",Frustrated
I would like to know the current status of my delivery. Please advise.,Neutral
I'm happy with how quickly my order status was addressed. Your team handled my case impressively!,Satisfied
This is my third time contacting you about my payment. It's been two days and the service remains poor.,Frustrated
"Dear Support Team, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
This is my third time contacting you about my order status. It's been three days and the service remains inadequate.,Frustrated
Could you please update me on the progress of my payment? I appreciate your help.,Neutral
Great job on resolving my delivery. I received a prompt response and the service was outstanding.,Satisfied
"Dear Support Team, I wanted to thank you for resolving my delivery so promptly. I appreciate the excellent service!",Satisfied
"Hi, your assistance with my refund was much appreciated. I'm very satisfied with the results.",Satisfied
I am very disappointed. I ordered a smartphone and have been facing refund issues for a long time. The support is disappointing.,Frustrated
"Dear Support Team, your assistance with my order status was much appreciated. I'm very satisfied with the results.",Satisfied
"Dear Support Team, I wanted to thank you for resolving my technical support so promptly. I appreciate the excellent service!",Satisfied
"Good day, I'm checking in about my account access and would like to get further details.",Neutral
Could you please update me on the progress of my payment? I appreciate your help.,Neutral
My experience with your service has been extremely poor. My account access problem has lingered for two days without any resolution.,Frustrated
"Dear Support Team, I wanted to thank you for resolving my order status so promptly. I appreciate the excellent service!",Satisfied
This is my third time contacting you about my technical support. It's been three days and the service remains inadequate.,Frustrated
I'm happy with how quickly my refund was addressed. Your team handled my case impressively!,Satisfied
"Thanks for your help! My refund problem was fixed within three days, and the service was very professional.",Satisfied
"Hey there, I'm checking in about my order status and would like to get further details.",Neutral
I've been waiting for a response about my delivery for several minutes and I'm getting tired of this disappointing service.,Frustrated
I've been waiting for a response about my technical support for a long time and I'm getting tired of this inadequate service.,Frustrated
"Good day, I am really upset because my technical support issue has not been resolved for half an hour. This service is below expectations.",Frustrated
"Hello, your assistance with my technical support was much appreciated. I'm very satisfied with the results.",Satisfied
"Hello, I wanted to thank you for resolving my refund so promptly. I appreciate the excellent service!",Satisfied
I would like to know the current status of my refund. Please advise.,Neutral
I am very disappointed. I ordered a printer and have been facing technical support issues for half an hour. The support is inadequate.,Frustrated
Could you please update me on the progress of my account access? I appreciate your help.,Neutral
I've been waiting for a response about my refund for an hour and I'm getting tired of this inadequate service.,Frustrated
I'm happy with how quickly my account access was addressed. Your team handled my case impressively!,Satisfied
